% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 16:58
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
164,-3.4782544301096574E-31,-1.6463243861546001E-31,1.8773005905366785E-31,-3.3641198056297287E-31,-4.762918373475334E-32,8.011745862081075E-32
165,-3.4186418850050318E-31,-1.4903208228750258E-31,1.7279248867476715E-31,-3.27170795695522E-31,-4.4740748466573507E-32,8.228014451545462E-32
165.99999999999997,-3.3651332006500315E-31,-1.3371297571337715E-31,1.5873771725854097E-31,-3.180489024331647E-31,-4.159644137604306E-32,8.44391585315327E-32
166.99999999999997,-3.321044124213775E-31,-1.183146755985965E-31,1.4546362306429928E-31,-3.0923542802778027E-31,-3.8164884965837876E-32,8.65767042162263E-32
168,-3.2911895004604033E-31,-1.0224401308316833E-31,1.3282811318177822E-31,-3.0101953105577673E-31,-3.44085102113926E-32,8.866726212966859E-32
169,-3.2826373786154004E-31,-8.439508215521463E-32,1.2056349697769824E-31,-2.938777447554588E-31,-3.028770547198129E-32,9.06784385958511E-32
170,-3.304994818489135E-31,-6.246557231158142E-32,1.0804337595522338E-31,-2.88629848508451E-31,-2.5755269158956774E-32,9.256445400318398E-32
171,-3.3651741560477766E-31,-3.1119290464255594E-32,9.352606689408095E-32,-2.8664609569542085E-31,-2.0760717237438172E-32,9.4264484529386E-32
171.99999999999997,-3.422808597367129E-31,2.2577019716721217E-32,7.160636655877706E-32,-2.8925304039755807E-31,-1.5247983847586162E-32,9.569548467778889E-32
172.99999999999997,-3.1329525614119805E-31,1.1802126405366603E-31,2.8144273204963644E-32,-2.884691433743261E-31,-9.160631818341925E-33,9.674511473774822E-32
174,-1.7320370985331017E-31,1.794508629604699E-31,-2.651027561830678E-32,-2.414136875367388E-31,-2.4459590092189202E-33,9.726038204118184E-32
175,-6.973790213063599E-32,9.935459759090853E-32,-2.326187137207415E-32,-1.7706524343394757E-31,4.93349366956829E-33,9.703413374328903E-32
176,-6.121990268709577E-32,3.345871901030204E-32,-4.338895852742534E-33,-1.4896649647074493E-31,1.2978242899993578E-32,9.578878553595467E-32
177,-6.849683094027975E-32,5.7880271276193206E-33,5.0213540994797245E-33,-1.3446254260452094E-31,2.1614493475868341E-32,9.315991730022169E-32
177.99999999999997,-7.229135758783241E-32,-4.6755163635002394E-33,8.103685179907047E-33,-1.2233404998723266E-31,3.0629434552941216E-32,8.869052789432195E-32
178.99999999999997,-7.153679798510013E-32,-7.990055077557955E-33,8.218695958336599E-33,-1.1008013331998236E-31,3.9572514820120984E-32,8.185674506734148E-32
180,-6.734651064992601E-32,-8.217722107732214E-33,7.038041053565579E-33,-9.724198245806781E-32,4.762822371702853E-32,7.217148551873899E-32
