% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
118.99999999999999,1.9505750680398673E-31,7.953660902154359E-32,-6.502530124285574E-32,-2.137032152029158E-31,-1.6045353394721337E-33,-8.521032244548803E-32
119.49999999999999,1.9071245440356673E-31,7.90643649914508E-32,-6.206657271809526E-32,-2.108450977676242E-31,-2.4295013011487697E-33,-8.530648014753975E-32
120,1.8608180719874845E-31,7.943932100811237E-32,-5.829375136041295E-32,-2.0840298341379927E-31,-3.249994303029771E-33,-8.538791871297779E-32
120.49999999999999,1.8125594549144203E-31,8.07109514771404E-32,-5.373515886713719E-32,-2.0647915510501886E-31,-4.066872197175278E-33,-8.545538051252824E-32
121,1.7632912549134505E-31,8.291978881609272E-32,-4.84285312415676E-32,-2.051726229504493E-31,-4.879477800945047E-33,-8.550918716169634E-32
121.49999999999999,1.7139884659456164E-31,8.609642491749574E-32,-4.2421293493008086E-32,-2.045779237472528E-31,-5.6880476759804604E-33,-8.554958295992055E-32
121.99999999999999,1.6656467680562222E-31,9.02628129264162E-32,-3.576887859983421E-32,-2.0478521239294377E-31,-6.49242189679965E-33,-8.557712987634313E-32
122.5,1.6192720203740684E-31,9.543263411403022E-32,-2.853373340561193E-32,-2.0587975155712603E-31,-7.29264339592754E-33,-8.559211698335827E-32
122.99999999999999,1.5758772895839638E-31,1.0161210090192135E-31,-2.0784581847184346E-32,-2.079422378892736E-31,-8.088578480323173E-33,-8.559481358778957E-32
123.5,1.5364827415745167E-31,1.0880072736606223E-31,-1.2595904835998822E-32,-2.110493444658855E-31,-8.880478097358901E-33,-8.558571307055184E-32
123.99999999999999,1.5021143935544447E-31,1.169921258026092E-31,-4.0473430250184916E-33,-2.1527417095210694E-31,-9.668217632411227E-33,-8.556522129858322E-32
124.5,1.4738095430869964E-31,1.2617430655646582E-31,4.776076228122946E-33,-2.2068681966646484E-31,-1.0451871016510586E-32,-8.553344419914833E-32
125,1.4526261758386937E-31,1.3633000914429565E-31,1.3783452369200254E-32,-2.273552958108585E-31,-1.1231702336243083E-32,-8.549092616249441E-32
125.49999999999999,1.4396483421912516E-31,1.4743701634087262E-31,2.287775891908631E-32,-2.353460920490099E-31,-1.2007551368376201E-32,-8.543784040920775E-32
126,1.4359992998557175E-31,1.5946714660552427E-31,3.1954122861423553E-32,-2.4472433349353097E-31,-1.2779766233584382E-32,-8.537453628177006E-32
126.49999999999999,1.4428526629800346E-31,1.7238627119043085E-31,4.0898894280942874E-32,-2.555545989948822E-31,-1.3548208402141693E-32,-8.530115963646876E-32
127,1.4614465645263572E-31,1.8615216121610926E-31,4.958704317865577E-32,-2.679002513058703E-31,-1.431321153890967E-32,-8.521825106055348E-32
127.49999999999999,1.493088637187121E-31,2.0071338012133397E-31,5.788083904170435E-32,-2.818229890051762E-31,-1.507485760284129E-32,-8.5125763618128E-32
127.99999999999999,1.53917396104935E-31,2.160065687106077E-31,6.562648518375415E-32,-2.973819813546539E-31,-1.5833292538880246E-32,-8.502416511995459E-32
128.5,1.6011856736858963E-31,2.319535605039464E-31,7.265188538265682E-32,-3.146317802538385E-31,-1.6588734674284063E-32,-8.491355970720994E-32
129,1.6807014478774789E-31,2.4845735089701012E-31,7.876308639997351E-32,-3.3361955201430813E-31,-1.7341191085353748E-32,-8.479433857901612E-32
129.5,1.779381582600148E-31,2.653979237772317E-31,8.374207231662084E-32,-3.5438110812103994E-31,-1.8091118895304676E-32,-8.466640955892811E-32
129.99999999999997,1.8989653563555785E-31,2.8262682450048095E-31,8.734290908476371E-32,-3.7693625516446474E-31,-1.8838451944460757E-32,-8.453018325833139E-32
130.5,2.041231773562674E-31,2.999609933020691E-31,8.929014261769937E-32,-4.01281185185987E-31,-1.9583588370705622E-32,-8.438578424871251E-32
130.99999999999997,2.2079638562679664E-31,3.1717677412438696E-31,8.927693262341383E-32,-4.273810794668789E-31,-2.032654702028056E-32,-8.423345872055462E-32
131.5,2.4008684901163647E-31,3.3400315323454337E-31,8.696616804823228E-32,-4.551588736888503E-31,-2.1067752447029805E-32,-8.407302173772498E-32
132,2.6214934907596225E-31,3.5011487931316484E-31,8.199164895798951E-32,-4.844835861364421E-31,-2.1807695982693317E-32,-8.390488756861093E-32
132.5,2.8711070846515957E-31,3.6512742828659265E-31,7.39633682333705E-32,-5.151571758321733E-31,-2.25458521250417E-32,-8.372920779384874E-32
133,3.150520917771589E-31,3.785935971668581E-31,6.247873234383756E-32,-5.468986623739763E-31,-2.3282421503683072E-32,-8.354616429425628E-32
133.49999999999997,3.4598847723656484E-31,3.9000649911372098E-31,4.7140685608293116E-32,-5.793308760761802E-31,-2.4018342436376662E-32,-8.335558706377107E-32
134,3.798494423224949E-31,3.988022360032123E-31,2.757430081047221E-32,-6.119676148793844E-31,-2.4753681190971507E-32,-8.315759592779237E-32
134.5,4.164521950833455E-31,4.043753041477716E-31,3.459442172108503E-33,-6.442051157955094E-31,-2.5488577503576067E-32,-8.295226686967173E-32
135,4.554791959182492E-31,4.061003784547618E-31,-2.543553471034244E-32,-6.753218216614373E-31,-2.6223241387244353E-32,-8.273970975081979E-32
135.5,4.964575833236792E-31,4.033666830812089E-31,-5.921173676912147E-32,-7.044891536319313E-31,-2.695799843513187E-32,-8.251988015982272E-32
